strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/England/PORT-2DF439/2021	2021-01-09	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1476665	Centre for Enzyme Innovation, University of Portsmouth / Translational Research Laboratory, Portsmouth Hospitals NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Angela Beckett,Salman Goudarzi,Christopher Fearn,Kate Cook,Katie Loveson,Sharon Glaysher,Scott Elliott,Samuel Robson		
hCoV-19/England/LOND-E65C5/2021	2021-01-20	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1730398	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer		
hCoV-19/England/210181054/2021	2021-01-07	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296506	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		PHE Covid Sequencing Team		
hCoV-19/England/210460665/2021	2021-01-26	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296586	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		PHE Covid Sequencing Team		
hCoV-19/Germany/ST-MD352/2021	2021-01-21	20I/501Y.V1	Germany	Saxony-Anhalt	Saxony-Anhalt	EPI_ISL_960857	Institute of Medical Microbiology and Hospital Hygiene	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Institute of Medical Microbiology and Hospital Hygiene		Prof. Dr. Achim Kaasch, Aljoscha Tersteegen		
hCoV-19/Poland/2374_AGamb_gx1/2021	2021-01-27	20I/501Y.V1	Poland	Mazowieckie	Mazowieckie	EPI_ISL_1295169	Laboratory Diagnostics and Clinical Immunology of Developmental Age, Medical University of Warsaw	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	genXone SA, Research & Development Laboratory; The Faculty of Mathematics, Informatics and Mechanics of the University of Warsaw		Maciej Sykulski, Grzegorz Nowicki, Jakub Grabowski, Natalia Drweska-Matelska, Anna Brylak-Blaszkow, Aleksandra Gidlewicz, Karol Szeszko, Lukasz Krych, Michal Kaszuba, Anna Gambin, Urszula Demkow		
hCoV-19/England/BIRM-6FBFF/2021	2021-01-13	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1474382	University of Birmingham	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Institute of Microbiology, University of Birmingham: Claire McMurray, Joanne Stockton, Samuel Nicholls, Radoslaw Poplawski, Will Rowe, Josh Quick, Nicholas Loman. University of Birmingham Testing Laboratory:  Celina M Whalley, Andrew Bosworth, Charlotte Poxon, Kasun Wanigasooriya, Oliver Pickles, Mike Kidd, Alex Richter, Andrew D Beggs PHE Heartlands Lab: Husam Osman, Andrew Bosworth. Queen Elizabeth Hospital: Anna Casey		
hCoV-19/Scotland/QEUH-11A840A/2021	2021-01-30	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1250123	University of Exeter	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		Ben Temperton,Aaron Jeffries,Michelle Michelsen,Joanna Warwick-Dugdale,Audrey Farbos,Robyn Manley,Stephen Michell,Jane Masoli		
hCoV-19/Scotland/EDB15156/2021	2021-01-30	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1104223	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium		McHugh M, Dewar R, Cotton S, Rooke S, O’Toole Á, Scher E, Hill V, McCrone JT, Colquhoun R, Yu X, Jackson B, Rambaut A, Templeton K		
hCoV-19/Poland/Pomorskie_MWB_41/2021	2021-01-08	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_906738	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines		Lukasz Rabalski, Maciej Kosinski, Maciej Grzybek, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk		
